slug,name,description,ministry,department,state,category,beneficiary_type,benefits,eligibility_text,application_process,documents_required,apply_url,official_url,eligibility_age_min,eligibility_age_max,eligibility_gender,eligibility_caste,eligibility_income_max,eligibility_residence,eligibility_state,eligibility_disability,eligibility_bpl,scraped_at
absap,Akhil Bharatiya Samanvit Anusandhan Pariyojana - Veer Chandra Singh Garhwali Uttarakhand University of Horticulture and Forestry,"The scheme aims to conduct research and improve important horticultural and forestry species, conserve their germplasm, provide improved seeds and saplings, and train farmers in using better techniques to enhance productivity.",,Horticulture Department,Uttarakhand,Skills & Employment,Individual,"Under this scheme, research is conducted on selected species, including their conservation and germplasm preservation, studying possibilities for species improvement, quality testing, distribution of plants, and providing training.
<br>","1. All farmers in Uttarakhand are eligible to receive the benefits.

<br>","[Offline]
From time to time, Kisan Mitras are contacted directly by the Akhil Bharatiya Samanvit Anusandhan Pariyojana under various projects and are provided training through different programs. Additionally, farmers are informed through various communication channels about advanced seeds and improved seedlings, based on the achievements of these projects.",Documents are required as per the guidelines of the Akhil Bharatiya Samanvit Anusandhan Pariyojana to avail the benefits.,https://uk.gov.in/department92/library_file/file-30-01-2025-04-25-16.pdf,https://www.myscheme.gov.in/schemes/absap,,,all,[],,both,"[""Uttarakhand""]",False,False,2026-07-05 10:05:48.911+00
aikmkue,Akhil Bhartiya Kisan Mela and Krishi Udyog Pradarshani,"The scheme aims to provide a platform for farmers, agri-entrepreneurs, and stakeholders to access, learn about, and showcase the latest agricultural innovations, technologies, and practices.",,Agriculture Department,Uttarakhand,"Agriculture,Rural & Environment","Individual, Business Entity","The Fair/Exhibition is organized twice a year on the university campus.
<br>","1. Participants should be farmers, farmer entrepreneurs, or agriculture-related firms interested in showcasing and promoting the latest agricultural technologies.

<br>","[Offline]
The exhibition is organized after agriculture and agriculture-related firms deposit the prescribed participation fee, while farmers participate by registering themselves for the event.",Documents are required in accordance with the guidelines issued for the conduct of the fair and exhibitions.,https://uk.gov.in/department92/library_file/file-30-01-2025-04-25-16.pdf,https://www.myscheme.gov.in/schemes/aikmkue,,,all,[],,both,"[""Uttarakhand""]",False,False,2026-07-05 10:19:19.508+00
acuk,Allotment of Canteens,The scheme aims to promote trade and entrepreneurship by allotting canteens for selling tea and other food items to eligible residents of Uttarakhand through a fair and transparent tender process.,,Agriculture Department,Uttarakhand,Business & Entrepreneurship,Individual,"The scheme facilitates the promotion of trade in tea and other food items by allotting canteens to eligible residents of Uttarakhand.
<br>","1. The applicant must be a resident of Uttarakhand.

<br>","[Offline]
Application Process:
Information regarding the allotment of canteens is published in newspapers and through public notices displayed at public places, and interested applicants can obtain the tender form by paying the prescribed amount at the committee office.
Submit the completed tender form in the tender box on the due date.
Selection Process:
The allotment of canteens is carried out by a committee formed at the committee level.
The tenders are opened by the committee in the presence of the tenderers.
The canteen is allotted to the applicant/tenderer offering the highest amount for a period of one year.",Documents are to be submitted as per the requirements specified by the Canteen Allotment Committee/tender guidelines.,https://uk.gov.in/department92/library_file/file-30-01-2025-04-25-16.pdf,https://www.myscheme.gov.in/schemes/acuk,,,all,[],,both,"[""Uttarakhand""]",False,False,2026-07-05 10:05:08.59+00
acg,Allotment of Commercial Godown,The scheme aims to facilitate ease of doing business for traders by providing licensed traders with access to commercial godowns for storage and management of their goods.,,Agriculture Department,Uttarakhand,Business & Entrepreneurship,Individual,"The scheme facilitates ease of doing business for traders by allotting them with commercial Godowns.
<br>","1. The applicant must be a resident of Uttarakhand.
   1. The applicant must hold a valid trader’s license issued by the Mandi Committee.

<br>","[Offline]
Application Process:
Upon receiving information about godown allotment (through notices in newspapers and public places), obtain the application form from the Mandi Committee office by paying the prescribed fee.
Complete the application form with accurate details and submit it to the Mandi Committee office.
Selection Process:
The Shop Allotment Committee conducts the allotment of commercial godowns.
Traders are selected in descending order based on the highest market fee deposited in the last three years, subject to availability of godowns.",Documents are required in accordance with the shop Allotment Committee/tender guidelines.,https://uk.gov.in/department92/library_file/file-30-01-2025-04-25-16.pdf,https://www.myscheme.gov.in/schemes/acg,,,all,[],,both,"[""Uttarakhand""]",False,False,2026-07-05 09:50:21.704+00
acsuk,Allotment of Commercial Shops,The scheme aims to promote ease of doing business for licensed traders by providing them with well-located commercial shops in market yards (mandis).,,Agriculture Department,Uttarakhand,"Agriculture,Rural & Environment, Business & Entrepreneurship",Individual,"The scheme facilitates ease of doing business for traders by allotting them with commercial shops.
<br>","1. The applicant must be a resident of Uttarakhand.
   1. The applicant must hold a valid trader’s license issued by the Mandi Committee.

<br>","[Offline]
Application Process:
Upon receiving information regarding shop allotment (through notices published in newspapers and displayed at public places), the applicant must obtain the application form from the committee office by paying the prescribed fee.
Complete the form with the required information and submit it to the committee office within the stipulated time.
Selection Process:
Allotment of commercial shops is carried out by the Shop Allotment Committee.
Traders are selected based on the available shops and the applications received, giving priority in descending order to those who have deposited the highest market fees in the last three years.","Valid trader’s license issued by the Mandi Committee
Other documents as required",https://uk.gov.in/department92/library_file/file-30-01-2025-04-25-16.pdf,https://www.myscheme.gov.in/schemes/acsuk,,,all,[],,both,"[""Uttarakhand""]",False,False,2026-07-05 10:05:43.999+00
asfm,Allotment of Shops in Kisan Bazaar,The scheme aims to facilitate trade in products other than agricultural produce by providing commercial shops in Kisan Bazaars. The shops are allotted to eligible residents of Uttarakhand through public notices published in newspapers and displayed at public places.,,Agriculture Department,Uttarakhand,"Agriculture,Rural & Environment, Business & Entrepreneurship",Individual,"The scheme facilitates trade in products other than agricultural produce by allotting shops in the Kisan Bazaars to eligible residents of Uttarakhand.
<br>","1. The applicant must be a resident of Uttarakhand.

<br>","[Offline]
Application Process:
Upon receiving information regarding the allotment of shops in the Kisan Bazaar (through notices published in newspapers and displayed at public places), applicants can obtain the tender form from the committee office by paying the prescribed fee.
Complete the tender form and submit it in the tender box on or before the specified due date.
Selection Process:
The allotment of shops in the Kisan Bazaar is carried out by the Shop Allotment Committee.
Tenders are opened by the Shop Allotment Committee in the presence of the applicants/tenderers.
The committee invites bids from applicants, and selection is based on the highest tender amount.
The shop is allotted to the highest bidder.",Documents are required in accordance with the Shop Allotment Committee/tender guidelines.,https://uk.gov.in/department92/library_file/file-30-01-2025-04-25-16.pdf,https://www.myscheme.gov.in/schemes/asfm,,,all,[],,both,"[""Uttarakhand""]",False,False,2026-07-05 09:50:44.565+00
avn,Alpshankhyak Vikas Nidhi,"The scheme establishes a ₹4 crore fund to support marginalized minorities in Uttarakhand, targeting gaps in existing central/state welfare programs through district-level initiatives.",,"Minority Welfare, Uttarakhand",Uttarakhand,"Social welfare & Empowerment, Skills & Employment",University / Institution,"> **1. Financial Support for Community Development**

**Fund Corpus:**

- Initial allocation of ₹4,00,00,000/- (revised periodically).

- Annual replenishment based on project demand and state budget provisions.

**Project-Specific Grants:**

- Education: Up to ₹10,00,000/- per institution for infrastructure (e.g., classrooms, libraries).
- Livelihoods: ₹5,00,000/- max for vocational training centers (e.g., sewing, computer courses).
- Healthcare: ₹3,00,000/- for mobile clinics or health camps in minority-concentrated districts.

<br>

> **2. Targeted Group Coverage**

**Eligible Communities:**

- Religious Minorities: Muslims, Sikhs, Christians, Buddhists, Jains (constituting ~15.4% of UP’s population per 2001 census).
- Linguistic Minorities: Urdu, Bengali, and Punjabi speakers.

**Priority Districts:**
Ghaziabad, Saharanpur, and other regions with &gt;25% minority population.
<br>

> **3. Empowerment Through Education**

**Scholarships:**
Pre-Matric: ₹1,000/month for school students (grades 1–8).
Post-Matric: ₹5,000/year for higher education (grades 9–12).
**Skill Development:**
Subsidized courses in partnership with ITIs and NSDC (e.g., ₹2,000 stipend per trainee).
<br>

> **4. Infrastructure and Welfare Initiatives**

**Community Infrastructure:**
Grants for:

- Construction of community halls (₹20,00,000/- max).
- Renovation of religious institutions (₹5,00,000/-, excluding places of worship).

**Basic Amenities:**
Funding for water supply, sanitation, and electricity in minority-dominated slums.
<br>

> **5. Employment and Entrepreneurship**

**Subsidized Loans:**
Interest subsidy of 5% for small businesses via partner banks (e.g., ₹2,00,000/- loan at 7% instead of 12%).
**Self-Help Groups (SHGs):**
Seed money of ₹50,000 per SHG for handicrafts, agro-based businesses.
<br>

> **6. Healthcare Access**

**Mobile Health Units:**
Free check-ups and medicines in remote areas (₹5 ,00,000/unit annually).
**Awareness Camps:**
Subsidized camps for maternal health, TB, and diabetes (₹1,00,000/camp).
<br>

> **7. Transparency and Accountability**

**Digital Tracking:**
Real-time project updates on UP Social Welfare Dashboard.
**Third-Party Audits:**
Mandatory CA-certified utilization reports for funds &gt;₹5,00,000/-.
<br>

> **8. Special Provisions for Women**

**Women-Centric Schemes:**
50% reservation in scholarships/vocational training.
₹25,000 grants for home-based enterprises (e.g., embroidery, food processing).
<br>

> **9. Supplement to Central Schemes**

**Gap Funding:**
Covers shortfalls in central schemes like MSDP (Multi-Sectoral Development Programme).
**Example:** Additional ₹2,00,000/- for a school building if MSDP allocates ₹8,00,000/- against a ₹10,00,000/- estimate.
<br>

> **10. Long-Term Impact**

**Social Inclusion:**
Bridges disparities in literacy (e.g., Urdu-speaking women’s literacy rate improved by 12% in pilot districts).
Economic Upliftment:
1,200+ minority-owned startups supported since 2015.
<br>","- The project must benefit notified religious/linguistic minority communities in Uttarakhand.
- The project must address critical gaps in education, livelihoods, or social welfare.
_*Priority given to districts with high minority populations (e.g., Ghaziabad, Saharanpur)._
<br>","[Offline]
Step 1: The eligible institutions should approach the Minority Welfare Officer and request the prescribed format of the development proposal from the designated staff.
Step 2: In the format, fill in all the mandatory details, and attach copies of all the required documents. 
Step 3: Two hard copies of the proposal, and a soft copy (PDF) are required to be submitted via email to the Minority Welfare Officer. Request a receipt or acknowledgement.
Step 4: The Minority Welfare Officers forward the eligible proposals to the Directorate of Minority Welfare, Dehradun. The Directorate compiles and forwards the proposals to the State Government.
Step 5: A State Committee chaired by the Secretary of the Minority Welfare Department approves proposals. The final approval is granted by the Chief Secretary of Uttarakhand.","Project Proposal: Detailed plan with objectives, budget, and implementation timeline.
Institution’s Registration Certificate
Community Certification: Proof of Minority Status (e.g., religious/linguistic affiliation).
Financial Contribution Proof (25% for infrastructure cases)
Details of Teachers (for honorarium requests)
Bank Details of the Institution.",https://cdnbbsr.s3waas.gov.in/s37b41bfa5085806dfa24b8c9de0ce567f/uploads/2025/02/20250217239266717.pdf,https://www.myscheme.gov.in/schemes/avn,,,all,[],,both,"[""Uttarakhand""]",False,False,2026-07-05 10:15:42.703+00
agmsbtechuk,Amit Gautam Memorial Scholarship (B.Tech in Electronics Engineering – 4th Year),"The scheme aims to support meritorious students pursuing a B.Tech in Electronics Engineering who are in their 4th year of study by providing a one-year scholarship amounting to ₹7,000/-.",,Agriculture Department,Uttarakhand,Education & Learning,Individual,"The eligible student will receive ₹7,000/- per year as a scholarship.
<br>","1. The applicant must be a student.
   1. The applicant must be enrolled in the 4th year of the B.Tech (Electronics Engineering) course at Govind Ballabh Pant University of Agriculture and Technology, Pantnagar.
   1. The scholarship is awarded for a duration of one year only.

<br>","[Offline]
First, applications are invited from students in the prescribed format. Thereafter, a committee constituted by the Vice-Chancellor evaluates the received applications as per the prescribed procedure. Based on the committee’s recommendations, the Vice-Chancellor grants approval, following which the selected students receive the scholarship amount.",Documents are required in accordance with the university guidelines prescribed for this scheme.,https://uk.gov.in/department92/library_file/file-30-01-2025-04-25-16.pdf,https://www.myscheme.gov.in/schemes/agmsbtechuk,,,all,[],,both,"[""Uttarakhand""]",False,False,2026-07-05 09:34:16.878+00
ahtn,Animal Husbandry,"This scheme provides subsidies on the distribution of sheep units, milch animals, and calves, as well as health coverage and artificial insemination for the animals. It is targeted at Tribal communities to improve their livelihood through animal husbandry.",,Adi Dravidar and Tribal Welfare Department,Tamil Nadu,"Agriculture,Rural & Environment",Individual,"- **Subsidy:** Subsidy of 50% to 75% on sheep units, milch animals, and calves.  - **Health Care Facility for Animals:** Provision of health care and veterinary services.  - **Others:** Artificial insemination for animals to improve breeding.
&lt;br&gt;","- The beneficiary should be a resident of Tamil Nadu.
- The beneficiary should be a Farmer.
- The beneficiary should belong to the Adi Dravidar/Tribal community.","[Offline]
Step 1: The interested applicant should collect the application form from the office of the Director of Adi Dravidar and the Tribal Welfare Officer/ Director of the Animal Husbandry Department or the Veterinary Hospital.
Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
Step 3: Submit the duly filled and signed application form along with the documents to the concerned department.
Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Proof of identity (Aadhar card or any other document as directed by the authority).
Community certificate.
Any other documents (if required).",https://www.tn.gov.in/scheme/data_view/26799,https://www.myscheme.gov.in/schemes/ahtn,,,all,"[""SC"",""ST""]",,both,"[""Tamil Nadu""]",False,False,2026-07-05 09:32:09.807+00
ahsmfuk,Animal Husbandry: Assistance to Small and Marginal Farmers,"The scheme aims to provide financial assistance to small and marginal farmers for the replacement of productive livestock lost due to notified natural disasters such as floods, landslides, or other calamities.",,Department Of Disaster Management,Uttarakhand,"Agriculture,Rural & Environment",Individual,"**Replacement of Milk, Agricultural, and Transport Animals:**

- **Milch animals:** ₹37,500/- per animal (Buffalo/Cow/Camel/Yak/Mithun) will be payable.- ₹4,000/- per animal (Sheep/Goat/Pig) will be payable.

**Agricultural and Haulage Animals:** 

- ₹32,000/- per animal (Camel/Horse/Bullock) will be payable.

- ₹20,000/- per animal (Calf/Donkey/Pony/Mule) will be payable.

**Poultry Farming:**

  - ₹100/- per bird, up to a limit of ₹10,000/- per beneficiary family. The death of birds must be due to a notified natural disaster to be eligible for assistance.

<br>","1. The applicant must be a Small or Marginal Farmer from Uttarakhand who has lost their milk, agricultural, or haulage animals due to a notified natural disaster.

<br>","[Offline]
Information about the disaster and the resulting damage is received from various sources. The concerned Patwari verifies the damage and records it in the P-20 form. The Patwari’s report is subsequently verified by the Tehsildar and the Sub-Divisional Magistrate. Approval is then obtained from the District Magistrate. Once the District Magistrate’s approval is received, relief funds are disbursed to the concerned beneficiaries at the Tehsil level.
This assistance shall be limited to the actual loss of productive animals. However, irrespective of the extent of loss, assistance to a single family will be restricted to a maximum of 3 large milch animals, 30 small milch animals, or 3 large agricultural and draught animals (The loss or damage must be verified by a competent authority designated by the State Government).","Form P-20 Entry Confirmation (recorded by the concerned Patwari)
Other supporting documents as required",https://uk.gov.in/department92/library_file/file-04-12-2023-06-02-23.pdf,https://www.myscheme.gov.in/schemes/ahsmfuk,,,all,[],,both,"[""Uttarakhand""]",False,False,2026-07-05 09:43:13.744+00
as-sep,Annapurna Scheme: Seed Exchange Programme,"The scheme aims to increase agricultural productivity and production for SC/ST farmers who cannot afford improved seeds. It provides high-yielding improved seed varieties, up to one hectare, in exchange for existing crop or seed, backed by a 75% subsidy with a maximum limit of ₹1,500/-.",,Farmer Welfare and Agriculture Development Department,Madhya Pradesh,"Agriculture,Rural & Environment",Individual,"- Provision of improved seeds of high-yielding varieties of foodgrain crops.
- 75% subsidy on the actual price of the seed provided in exchange.
- The maximum limit of the subsidy is ₹1,500/-.
- Seeds of suitable varieties for the land and area will be provided in equal quantity compared to the seed provided by the farmer.
- The provision is limited to a maximum area of one hectare.
- Certified seed will be provided.

<br>

##### ***Conditions***

- _The seeds supplied must be of the improved variety, prioritizing those that are suitable for or prevalent in the area._
- _If certified seed is scarce, or depending on the specific crop condition, true form seed may be distributed only with the permission of the Director of Agriculture._
- _If the farmer provides seed of a different crop for exchange, the seed given by the farmer must be worth 25% of the actual price of the certified seed of the requested crop._
- _The improved seed provided to the farmer will not exceed the requirement for one hectare._
- _The seed received from the beneficiary farmer must be sold through auction (Ghosh Vikray) at the local Agricultural Produce Market Committee by a designated committee._
- _Cash received as the farmer&#39;s share or resulting from the auction of the grain provided by the farmer must be deposited into the Government Treasury by challan under Head 0401 Agriculture Work, Other Deposit - 800 Other Deposit._
- _If a farmer who previously received seed is given seed again, it must not be for the same crop or variety provided in prior years._

<br>","- The applicant must belong to the Scheduled Caste or Scheduled Tribe category.
- The applicant must be a small or marginal farmer.
- The applicant must be unable to afford the purchase of improved varieties of high-yielding foodgrain crops.

***Post-Selection Conditions***

- The farmer must exchange their existing crop or seed for the improved seeds.

<br>","[Offline]
Step 1: Target Determination and AllotmentThe Director of Agriculture determines the physical targets for the district, considering the population of small and marginal Scheduled Caste and Scheduled Tribe farmers, previous years' progress, and the demand received from the districts. 
The Sub-Director of Agriculture then divides the targets development-block-wise and obtains the necessary approval from the District Panchayat's Agriculture Standing Committee.
Step 2: Grassroots Target Distribution and Preliminary Candidate SelectionThe Sub-Director of Agriculture must inform the Sub-Divisional Agriculture Officer and the Senior Agriculture Development Officer of the approved targets. 
The Senior Agriculture Development Officer further divides the received targets area-wise among the Rural Agriculture Extension Officers. 
The primary selection of beneficiaries is carried out by the Rural Agriculture Extension Officer, who selects 1.5 times the required beneficiaries compared to the target.
Step 3: Submission and Approval of the Primary ListThe Rural Agriculture Extension Officer must prepare the list of selected farmers' names and submit it to the Senior Agriculture Development Officer. 
The Senior Agriculture Development Officer is responsible for securing the approval of this primary list from the Agriculture Standing Committee of the Janpad Panchayat.
Step 4: Finalizing the Selection and Waiting ListNames listed first in the approved primary list will be given priority. 
The remaining farmers are placed on a waiting list, which is considered final and remains valid only until the current crop season, with no changes permitted at any other level.
Step 5: Seed Demand Generation and ProcurementThe demand for necessary seed under the scheme must be sent jointly signed by the Rural Agriculture Extension Officer and the Society Manager, via the Senior Agriculture Development Officer, to the Sub-Divisional Agriculture Officer. 
The Sub-Divisional Agriculture Officer is responsible for coordinating with the seed supply organization and the cooperative bank manager to ensure that the seed is made available in a timely manner.
Step 6: Seed Distribution to BeneficiariesThe selected beneficiary farmers are provided with high-yielding variety seeds through Service Co-operative Societies, Development Blocks, or Government Agricultural Farms. 
Seed distribution agencies must store the seed at the nearest center, based on the demand of the area, to facilitate easy transport by the distribution organizations.
Step 7: Collection and Auction of Farmer's Seed ContributionThe Senior Agriculture Development Officer ensures the arrangement for the collection of the seed received from the beneficiary farmer from various centers and its subsequent sale through auction (Ghosh Vikray) at the Agricultural Produce Market Committee. 
The Deputy Director of Agriculture regularly reviews these auctions and presents any operational disturbances to the Collector during the weekly review meeting.
Step 8: Financial Settlement and Payment to Supply AgencySeed distribution agencies must submit a bill for the actual price of the seed provided to the farmers to the Senior Agriculture Development Officer. 
After verification of the bill, the Senior Agriculture Development Officer sends it through the Sub-Divisional Agriculture Officer to the Deputy Director of Agriculture for payment. 
The Deputy Director of Agriculture pays the actual price of the seed provided under the Seed Exchange Programme to the seed supply agency from the scheme budget.
Step 9: Deposit of Farmer's ContributionThe cash amount received as the farmer's share, or the amount realized after the auction of the grain provided by the farmer, must be deposited into the Government Treasury by the Senior Agriculture Development Officer using a challan under Head 0401 Agriculture Work, Other Deposit - 800 Other Deposit.
Application DeadlinesFor Kharif season: Beneficiary selection deadline is May 25; seed availability in the district is May 30; seed availability at farm/society/block is June 10; seed provision to farmers is June 15.
For Rabi/Summer season: Beneficiary selection deadline is August 31; seed availability in the district is September 15; seed availability at farm/society/block is September 30; seed provision to farmers is October 10.","Caste Certificate.
Proof Regarding the Size of Land Holding.
Information Pertaining To The Crop Or Seed Being Offered By The Farmer For Exchange.",https://mpkrishi.mp.gov.in/hindisite_New/pdfs/Annapurna.pdf,https://www.myscheme.gov.in/schemes/as-sep,,,all,"[""SC"",""ST""]",,both,"[""Madhya Pradesh""]",False,False,2026-07-05 09:50:16.55+00
as-smp,Annapurna Scheme: Seed Multiplication Programme,The scheme aims to enhance the economic status and productivity of SC/ST farmers by providing high-quality Breeder or Certified I grade seeds for seed production. Beneficiaries receive a 75% subsidy on the cost of the seed for up to 1 hectare of land.,,Farmer Welfare and Agriculture Development Department,Madhya Pradesh,"Agriculture,Rural & Environment",Individual,"- Provision of Breeder or Certified I Grade Seeds for seed production.
- A 75% subsidy is provided on the Breeder or Certified Seed.
- The subsidy is applicable for a maximum area of 1 hectare.
- The payment of registration fees required by the Seed Certification Agency, including the application fee, registration fee, inspection fee, and sample fee, is covered from the scheme funds.

<br>

##### ***Conditions***

- _The produced seeds must be made available to other Scheduled Caste and Scheduled Tribe farmers under the scheme at a fair price in the subsequent year._
- _An agreement (Anubandh) must be executed between the department and the beneficiary through the Seed Production Committee or Farm Superintendent to ensure seed production, marketing (muktjan), and payment according to policy._
- _The entire agricultural methodology (Sampuurna Krishi Kaaryamaala) must be adopted for higher production._
- _Undesirable plants (Avaanchhaniy Paudhon) must be separated to maintain seed purity._
- _The raw seed produced under the program will undergo grading, processing, stacking, and packing at the Government Agricultural Farm or at the processing center of the Seed Corporation or other institutions if facilities are unavailable at the farm._
- _The expenditure incurred on grading, processing, stacking, and packing of raw seeds produced at Government Agricultural Farms may be met by the Deputy Director of Agriculture from the scheme funds, provided the prepared seed is used only under the scheme._
- _The remaining amount, after deducting the processing expenditure from the prescribed price of the supplied seed, must be deposited in the Government Treasury by challan towards payment to the Government Agricultural Farm._

<br>","- The applicant must belong to the Scheduled Caste (SC) or Scheduled Tribe (ST) category.
- The applicant must be a small or marginal farmer.

##### ***Criteria Specific to &quot;Seed Production Programme&quot;***

- The applicant must be willing to participate in the Seed Production Programme.
- The applicant&#39;s land must fall within the 10 km perimeter of the selected Government Agricultural Farms.
- The applicant must conduct the program in a minimum area of 1/2 acre (0.2 hectare).
- The maximum area for which subsidy is eligible is 1 hectare.
- The applicant must mandatorily register with the Seed Certification Agency.

##### ***Crops Included***

- Kharif crops - Paddy, Jowar, Bajra, Maize, Kodo, Kutki, Ragi.
- Rabi crops - Wheat, Barley.

##### ***Operational Area***
The program is implemented within the 10 kilometer perimeter of 46 specified Government Agricultural Farms. These farms are located across various districts, including Bhind, Gwalior, Datia, Shivpuri, Raipur, Rajnandgaon, Raigarh, Janjgir, Korba, Satna, Sidhi, Damoh, Chhatarpur, Panna, Seoni, Balaghat, Chhindwara, Narsinghpur, Katni, Umaria, Khargone, Dewas, Shajapur, Ratlam, Mandsaur, Bhopal, Sehore, Raisen, Betul, Rajgarh, Jagdalpur, Kanker, Sitapur, Koriya, Mandla, Shahdol, Dhar, and Jhabua.
<br>","[Offline]
Step 1: Selection Of Interested BeneficiariesThe Gramin Krishi Vistar Adhikari (Rural Agricultural Extension Officer) will select small and marginal SC/ST farmers who are interested in participating in the Seed Production Programme. 
The Gramin Krishi Vistar Adhikari will prepare a list selecting 1.5 times the target number of beneficiaries.
Step 2: Submission And Approval of Beneficiary ListThe Gramin Krishi Vistar Adhikari will submit the list of selected beneficiaries to the Senior Krishi Vikas Adhikari (Senior Agricultural Development Officer) or the Farm Superintendent (Prakshetra Adhikshak). 
The Senior Krishi Vikas Adhikari or the Farm Superintendent will examine the received list and obtain approval from the Sub-Divisional Agricultural Officer (Anuvibhagiy Krishi Adhikari). 
Priority will be given to the names listed first in the approved list.
Step 3: Seed Procurement and Supply ArrangementThe Director of Agriculture will issue instructions for the supply of seed (Breeder or Certified I Grade) directly to the Deputy Director of Agriculture by authorized institutions, including Government Agricultural Farms, State Seed Corporation, National Seed Corporation, State Farm Corporation of India, and Agricultural Universities. 
The Deputy Director of Agriculture will subsequently arrange for the seed supply to the Farm Superintendent.
Step 4: Seed Distribution to FarmersThe Farm Superintendent will distribute the Breeder or Certified I seed to the selected farmers according to the approval of the Sub-Divisional Agricultural Officer. 
The Farm Superintendent is responsible for sending progress information regarding this distribution to the Sub-Divisional Agricultural Officer.
Step 5: Registration with Seed Certification AgencyThe Gramin Krishi Vistar Adhikari will submit the registration application letter to the Farm Superintendent within 20 days of sowing or before the final date fixed by the government. 
It is mandatory for the Farm Superintendent to present these applications to the Seed Certification Agency within the specified period.
Step 6: Technical Training and Agreement ExecutionBefore undertaking the production program, the beneficiary must receive necessary technical training and information from the Gramin Krishi Vistar Adhikari, Senior Krishi Vikas Adhikari, and Subject Matter Specialists at the sub-divisional level. 
An agreement must be executed between the department and the beneficiary, mediated by the Seed Production Committee or Farm Superintendent, to ensure timely seed production, marketing, and payment at prescribed rates.
Step 7: Payment of Registration FeesThe Sub-Divisional Agricultural Officer is responsible for withdrawing the necessary funds for registration (application fee, registration fee, inspection fee, and sample fee) from the scheme budget and ensuring payment is sent to the Seed Certification Agency before the prescribed date.
Step 8: Marketing and Processing of Produced SeedFollowing successful field certification and subsequent harvesting and threshing, the marketing of the seed will be carried out by the Seed Production Committee or the Farm Superintendent at prescribed rates. 
The Farm Superintendent will manage the grading and packing arrangements according to the schedule prepared under the supervision of the Seed Certification Agency, up until the final dates set by the government.
Benefit DisbursementThe Deputy Director of Agriculture will pay the Seed Supply Institution the actual cost of the seed supplied under the Seed Production Programme from the scheme funds.
The Deputy Director of Agriculture can also utilize scheme funds for expenses related to grading, processing, stacking, and packing of raw seeds produced at Government Agricultural Farms.
Application DeadlinesSelection of Beneficiaries: May 25 (Kharif) and August 31 (Rabi/Summer).
Provision of Seed to Farmers: June 15 (Kharif) and October 10 (Rabi/Summer).
Final date for expenditure against allotted funds: October 31 (Kharif) and January 31 (Rabi/Summer).
Physical and financial targets for all components must be ensured by January 31.","Caste Certificate (To Confirm Scheduled Caste/Scheduled Tribe Status).
Land Holding Details (To Confirm Small or Marginal Farmer Status and Area Coverage).
Documents/Records Specific to the ""Seed Production Programme"" To Be Prepared Or Executed By Officials/Committees
Agreement/Contract (Anubandh) (To Be Executed Between The Department And The Beneficiary, Mediated Through The Seed Production Committee Or The Farm Superintendent).
List Of Registered Farmers (Including Crop/Variety-Wise Information On Sown Area, Prepared By The Farm Superintendent).
Joint Bank Account Details (Required If A Seed Producer Committee Is Formed, Held Jointly By The Committee Chairman And The Farm Superintendent).",https://mpkrishi.mp.gov.in/hindisite_New/pdfs/Annapurna.pdf,https://www.myscheme.gov.in/schemes/as-smp,,,all,"[""SC"",""ST""]",,both,"[""Madhya Pradesh""]",False,False,2026-07-05 09:42:43.012+00
